SCHOOL_NAME,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
Cariboo Hill,Public,2015,Burnaby,Gr 12 enrolment: 134,6.9,8.2,18.7,66.9,13.7,91.5,17.5,5.2
Cariboo Hill,Public,2016,Burnaby,Gr 12 enrolment: 134,6.9,8.2,18.7,69.4,10,87,17.5,5.6
Cariboo Hill,Public,2017,Burnaby,Gr 12 enrolment: 134,6.9,8.2,18.7,67,10.4,92,21.7,5.5
Cariboo Hill,Public,2018,Burnaby,Gr 12 enrolment: 134,6.9,8.2,18.7,74.3,3.1,82.5,28.2,5.9
Cariboo Hill,Public,2019,Burnaby,Gr 12 enrolment: 134,6.9,8.2,18.7,72.3,4.2,99,12.9,8.1
Moscrop,Public,2015,Burnaby,Gr 12 enrolment: 321,5.1,6.0,23.0,74.2,6,96.8,16.3,7.2
Moscrop,Public,2016,Burnaby,Gr 12 enrolment: 321,5.1,6.0,23.0,73.6,6.5,91.7,14.1,6.8
Moscrop,Public,2017,Burnaby,Gr 12 enrolment: 321,5.1,6.0,23.0,72.2,7.3,92.9,13.3,6.8
Moscrop,Public,2018,Burnaby,Gr 12 enrolment: 321,5.1,6.0,23.0,71.9,8.5,96.1,13.1,6.6
Moscrop,Public,2019,Burnaby,Gr 12 enrolment: 321,5.1,6.0,23.0,73,2.8,96,9.4,7.6
St Thomas More,Independent,2015,Burnaby,Gr 12 enrolment: 123,0.0,6.5,0.0,76.4,2.4,99.2,1.3,8.6
St Thomas More,Independent,2016,Burnaby,Gr 12 enrolment: 123,0.0,6.5,0.0,75.2,3.6,100,0.1,8.2
St Thomas More,Independent,2017,Burnaby,Gr 12 enrolment: 123,0.0,6.5,0.0,75.1,1.7,99.2,0,8.6
St Thomas More,Independent,2018,Burnaby,Gr 12 enrolment: 123,0.0,6.5,0.0,76.4,0,100,0,8.5
St Thomas More,Independent,2019,Burnaby,Gr 12 enrolment: 123,0.0,6.5,0.0,75.9,1.7,100,0,8.3
Archbishop Carney,Independent,2015,Port Coquitlam,Gr 12 enrolment: 113,5.2,4.9,0.0,73.6,4.6,100,0,8
Archbishop Carney,Independent,2016,Port Coquitlam,Gr 12 enrolment: 113,5.2,4.9,0.0,73.9,5.7,96.7,2.9,7.7
Archbishop Carney,Independent,2017,Port Coquitlam,Gr 12 enrolment: 113,5.2,4.9,0.0,70.2,10.2,100,0,6.8
Archbishop Carney,Independent,2018,Port Coquitlam,Gr 12 enrolment: 113,5.2,4.9,0.0,72.4,2.7,100,0,7.6
Archbishop Carney,Independent,2019,Port Coquitlam,Gr 12 enrolment: 113,5.2,4.9,0.0,72.7,2.5,100,0,8.1
British Columbia Christian,Independent,2015,Port Coquitlam,Gr 12 enrolment: 38,0.6,8.7,0.0,70.5,9.5,100,11.4,6.2
British Columbia Christian,Independent,2016,Port Coquitlam,Gr 12 enrolment: 38,0.6,8.7,0.0,70.3,11.2,92.3,31.5,5
British Columbia Christian,Independent,2017,Port Coquitlam,Gr 12 enrolment: 38,0.6,8.7,0.0,n/a,n/a,n/a,n/a,n/a
British Columbia Christian,Independent,2018,Port Coquitlam,Gr 12 enrolment: 38,0.6,8.7,0.0,n/a,n/a,n/a,n/a,n/a
British Columbia Christian,Independent,2019,Port Coquitlam,Gr 12 enrolment: 38,0.6,8.7,0.0,73,5.9,93.9,20.9,4.7
Centennial,Public,2015,Coquitlam,Gr 12 enrolment: 309,5.6,11.1,0.0,65.9,11.8,95.8,7.9,5.8
Centennial,Public,2016,Coquitlam,Gr 12 enrolment: 309,5.6,11.1,0.0,66.5,14.1,93.8,18,5.3
Centennial,Public,2017,Coquitlam,Gr 12 enrolment: 309,5.6,11.1,0.0,62.6,17.6,95.4,14.3,4.6
Centennial,Public,2018,Coquitlam,Gr 12 enrolment: 309,5.6,11.1,0.0,68,15,98.7,12,5.6
Centennial,Public,2019,Coquitlam,Gr 12 enrolment: 309,5.6,11.1,0.0,66.5,10.6,96.1,7.5,5.4
Dr. Charles Best,Public,2015,Coquitlam,Gr 12 enrolment: 382,1.6,8.0,44.1,72.2,5.1,97,6.2,7.4
Dr. Charles Best,Public,2016,Coquitlam,Gr 12 enrolment: 382,1.6,8.0,44.1,72.9,5.6,96.2,8.2,7.4
Dr. Charles Best,Public,2017,Coquitlam,Gr 12 enrolment: 382,1.6,8.0,44.1,71.2,4.4,97.2,7.5,7.5
Dr. Charles Best,Public,2018,Coquitlam,Gr 12 enrolment: 382,1.6,8.0,44.1,76.3,2,98.2,3.2,8.5
Dr. Charles Best,Public,2019,Coquitlam,Gr 12 enrolment: 382,1.6,8.0,44.1,74.4,2.4,97.6,5.7,8.5
Gleneagle,Public,2015,Coquitlam,Gr 12 enrolment: 331,2.4,9.0,0.0,72.6,8.3,92.3,9.9,6.6
Gleneagle,Public,2016,Coquitlam,Gr 12 enrolment: 331,2.4,9.0,0.0,72.9,7.8,93.9,10.4,6.6
Gleneagle,Public,2017,Coquitlam,Gr 12 enrolment: 331,2.4,9.0,0.0,67.8,12.1,95.3,7.9,6
Gleneagle,Public,2018,Coquitlam,Gr 12 enrolment: 331,2.4,9.0,0.0,68.2,15.3,94,5.8,4.8
Gleneagle,Public,2019,Coquitlam,Gr 12 enrolment: 331,2.4,9.0,0.0,70.4,10.4,93.2,11.4,5.2
Heritage Woods,Public,2015,Port Moody,Gr 12 enrolment: 377,6.9,9.8,0.0,74,3.8,97.6,6.7,7.6
Heritage Woods,Public,2016,Port Moody,Gr 12 enrolment: 377,6.9,9.8,0.0,73.8,4.8,96.8,4.8,7.5
Heritage Woods,Public,2017,Port Moody,Gr 12 enrolment: 377,6.9,9.8,0.0,69,9.4,98.2,4.7,7
Heritage Woods,Public,2018,Port Moody,Gr 12 enrolment: 377,6.9,9.8,0.0,72.7,5.9,98.6,0.3,7.3
Heritage Woods,Public,2019,Port Moody,Gr 12 enrolment: 377,6.9,9.8,0.0,71.9,3.8,98.6,2.5,7.6
Pinetree,Public,2015,Coquitlam,Gr 12 enrolment: 433,6.7,6.6,0.0,73.6,7.5,96.6,15.2,6.8
Pinetree,Public,2016,Coquitlam,Gr 12 enrolment: 433,6.7,6.6,0.0,73.5,7.6,95.1,11.5,7.1
Pinetree,Public,2017,Coquitlam,Gr 12 enrolment: 433,6.7,6.6,0.0,67.7,12.6,95.1,13.4,5.7
Pinetree,Public,2018,Coquitlam,Gr 12 enrolment: 433,6.7,6.6,0.0,69.3,10.8,93.5,11.7,5.3
Pinetree,Public,2019,Coquitlam,Gr 12 enrolment: 433,6.7,6.6,0.0,67.2,12.4,96.4,15.5,4.7
Port Moody,Public,2015,Port Moody,Gr 12 enrolment: 328,5.5,10.9,0.0,73.2,9.4,95.8,4.8,7
Port Moody,Public,2016,Port Moody,Gr 12 enrolment: 328,5.5,10.9,0.0,72.6,12,93.9,12,6.2
Port Moody,Public,2017,Port Moody,Gr 12 enrolment: 328,5.5,10.9,0.0,68.8,14.6,90.4,13.3,5.4
Port Moody,Public,2018,Port Moody,Gr 12 enrolment: 328,5.5,10.9,0.0,73.3,15,91.1,14,5
Port Moody,Public,2019,Port Moody,Gr 12 enrolment: 328,5.5,10.9,0.0,69.3,14.1,94.9,10.3,4.4
Riverside,Public,2015,Port Coquitlam,Gr 12 enrolment: 381,3.3,13.7,24.3,68.2,9.6,97.3,7.1,6.4
Riverside,Public,2016,Port Coquitlam,Gr 12 enrolment: 381,3.3,13.7,24.3,68.1,10.5,95.9,5.6,6.2
Riverside,Public,2017,Port Coquitlam,Gr 12 enrolment: 381,3.3,13.7,24.3,64.8,13.8,94.3,9.9,5
Riverside,Public,2018,Port Coquitlam,Gr 12 enrolment: 381,3.3,13.7,24.3,67.2,14.9,98.1,8.8,5.3
Riverside,Public,2019,Port Coquitlam,Gr 12 enrolment: 381,3.3,13.7,24.3,69.1,8.7,95.4,6.5,5.5
Terry Fox,Public,2015,Port Coquitlam,Gr 12 enrolment: 457,2.0,14.8,0.0,67.9,9.6,97.8,10.3,6.3
Terry Fox,Public,2016,Port Coquitlam,Gr 12 enrolment: 457,2.0,14.8,0.0,65.5,14.3,91.8,19.6,4.9
Terry Fox,Public,2017,Port Coquitlam,Gr 12 enrolment: 457,2.0,14.8,0.0,64.4,14.5,92.7,15.6,5
Terry Fox,Public,2018,Port Coquitlam,Gr 12 enrolment: 457,2.0,14.8,0.0,62.3,20,94.6,16.2,3.2
Terry Fox,Public,2019,Port Coquitlam,Gr 12 enrolment: 457,2.0,14.8,0.0,64.5,12,95.4,12.2,4.6
Burnsview,Public,2015,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,68.1,9.5,98.1,13.8,6.5
Burnsview,Public,2016,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,68.3,9.9,97.1,7.2,6.7
Burnsview,Public,2017,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,69.4,6.4,97,8.5,7.3
Burnsview,Public,2018,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,66,12.7,97.3,6.4,4.9
Burnsview,Public,2019,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,68.5,7.2,98.5,5,6.4
Delta,Public,2015,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,67.1,10.5,96.8,12.6,5.9
Delta,Public,2016,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,67.6,10.4,96.3,8,6.5
Delta,Public,2017,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,68.6,6.4,97.5,12.5,7.3
Delta,Public,2018,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,65.9,10.1,96.2,13.5,5.9
Delta,Public,2019,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,66.1,7.6,97.6,7.7,6.3
Delview,Public,2015,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,65,12,95.7,12.2,5.3
Delview,Public,2016,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,65.3,16,98.6,6.8,5.2
Delview,Public,2017,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,66.3,6.5,97.1,8.6,7
Delview,Public,2018,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,72.5,5.9,93.6,14.1,6.7
Delview,Public,2019,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,66.5,7.6,100,1.1,6.7
North Delta,Public,2015,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,67.7,11.1,96,13.3,6.2
North Delta,Public,2016,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,66.4,13.6,96.7,9.1,5.7
North Delta,Public,2017,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,68.6,6.9,94.2,16.5,6.9
North Delta,Public,2018,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,67.6,9.8,97.1,8.3,5.8
North Delta,Public,2019,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,65.2,11.7,94.8,12.4,4.9
Sands,Public,2015,Delta,Gr 12 enrolment: 141,2.2,16.9,0.0,66.7,9.7,96.9,8.2,6.1
Sands,Public,2016,Delta,Gr 12 enrolment: 141,2.2,16.9,0.0,67.5,9.5,97.1,9.7,6.4
Sands,Public,2017,Delta,Gr 12 enrolment: 141,2.2,16.9,0.0,63.5,14.8,97.7,4.8,5.5
Sands,Public,2018,Delta,Gr 12 enrolment: 141,2.2,16.9,0.0,67.2,12.7,99.3,11.4,5.1
Sands,Public,2019,Delta,Gr 12 enrolment: 141,2.2,16.9,0.0,67.6,5,95.6,4.8,6
Seaquam,Public,2015,Delta,Gr 12 enrolment: 311,1.4,11.2,0.1,70.6,8.1,97.5,10.9,6.6
Seaquam,Public,2016,Delta,Gr 12 enrolment: 311,1.4,11.2,0.1,70.4,7.5,97.7,10.4,6.8
Seaquam,Public,2017,Delta,Gr 12 enrolment: 311,1.4,11.2,0.1,73.5,3.4,98.7,3.5,8.4
Seaquam,Public,2018,Delta,Gr 12 enrolment: 311,1.4,11.2,0.1,73.5,2.9,99,3.9,7.3
Seaquam,Public,2019,Delta,Gr 12 enrolment: 311,1.4,11.2,0.1,69.9,7.9,98,7.2,6.3
South Delta,Public,2015,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,68.4,8.4,99.2,8.4,6.5
South Delta,Public,2016,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,69.4,7.3,97.8,11.9,6.8
South Delta,Public,2017,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,67.4,8.3,98.9,11.2,6.1
South Delta,Public,2018,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,67.3,11,97.9,16.3,5.1
South Delta,Public,2019,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,67,7.6,97.7,15.2,5.1
Southpointe,Independent,2015,Delta,Gr 12 enrolment: 38,0.0,2.3,0.0,79,0.4,100,1.7,8.8
Southpointe,Independent,2016,Delta,Gr 12 enrolment: 38,0.0,2.3,0.0,82.1,0,100,1.8,9.7
Southpointe,Independent,2017,Delta,Gr 12 enrolment: 38,0.0,2.3,0.0,71.3,6.1,97.8,0.7,7.1
Southpointe,Independent,2018,Delta,Gr 12 enrolment: 38,0.0,2.3,0.0,75,3.2,100,0,7.5
Southpointe,Independent,2019,Delta,Gr 12 enrolment: 38,0.0,2.3,0.0,78,0,100,0,9.1
Garibaldi,Public,2015,Maple Ridge,Gr 12 enrolment: 140,0.6,14.1,0.0,60.2,24.3,97.1,24.2,2.8
Garibaldi,Public,2016,Maple Ridge,Gr 12 enrolment: 140,0.6,14.1,0.0,62.1,19.2,93.1,16.7,4.3
Garibaldi,Public,2017,Maple Ridge,Gr 12 enrolment: 140,0.6,14.1,0.0,63.3,15.8,88.3,27.4,4.4
Garibaldi,Public,2018,Maple Ridge,Gr 12 enrolment: 140,0.6,14.1,0.0,60.3,26.7,91.7,18.4,1.8
Garibaldi,Public,2019,Maple Ridge,Gr 12 enrolment: 140,0.6,14.1,0.0,62.8,25.8,96.9,7.3,4.1
Maple Ridge,Public,2015,Maple Ridge,Gr 12 enrolment: 224,0.6,9.8,21.7,66.4,11.7,98.6,10.6,5.9
Maple Ridge,Public,2016,Maple Ridge,Gr 12 enrolment: 224,0.6,9.8,21.7,67.1,11.5,96.6,12.1,6.1
Maple Ridge,Public,2017,Maple Ridge,Gr 12 enrolment: 224,0.6,9.8,21.7,68.7,9,95.7,6.2,7.1
Maple Ridge,Public,2018,Maple Ridge,Gr 12 enrolment: 224,0.6,9.8,21.7,67.7,10,96.9,5.9,6.1
Maple Ridge,Public,2019,Maple Ridge,Gr 12 enrolment: 224,0.6,9.8,21.7,68.2,9.5,99.1,3.3,6.6
Meadowridge,Independent,2015,Maple Ridge,Gr 12 enrolment: 45,0.0,0.0,0.0,78.9,1.3,100,0,8.4
Meadowridge,Independent,2016,Maple Ridge,Gr 12 enrolment: 45,0.0,0.0,0.0,80,0.9,97.7,3.9,8.2
Meadowridge,Independent,2017,Maple Ridge,Gr 12 enrolment: 45,0.0,0.0,0.0,76.9,0,100,0,8.8
Meadowridge,Independent,2018,Maple Ridge,Gr 12 enrolment: 45,0.0,0.0,0.0,79.6,0,100,0.5,8.3
Meadowridge,Independent,2019,Maple Ridge,Gr 12 enrolment: 45,0.0,0.0,0.0,81.8,0,100,0,9.4
Pitt Meadows,Public,2015,Pitt Meadows,Gr 12 enrolment: 127,0.3,16.1,13.3,65.1,16,98.2,13.3,5
Pitt Meadows,Public,2016,Pitt Meadows,Gr 12 enrolment: 127,0.3,16.1,13.3,63.8,18.4,96.3,24.7,4.6
Pitt Meadows,Public,2017,Pitt Meadows,Gr 12 enrolment: 127,0.3,16.1,13.3,69.7,2.7,97.2,7.6,8.2
Pitt Meadows,Public,2018,Pitt Meadows,Gr 12 enrolment: 127,0.3,16.1,13.3,66.9,10.6,97,6.2,6.2
Pitt Meadows,Public,2019,Pitt Meadows,Gr 12 enrolment: 127,0.3,16.1,13.3,65.4,12.1,98.4,1.3,5.9
Samuel Robertson,Public,2015,Maple Ridge,Gr 12 enrolment: 193,0.3,14.0,0.0,61.4,17.7,93.4,18.4,3.5
Samuel Robertson,Public,2016,Maple Ridge,Gr 12 enrolment: 193,0.3,14.0,0.0,63.4,15.8,94.8,14.4,4.6
Samuel Robertson,Public,2017,Maple Ridge,Gr 12 enrolment: 193,0.3,14.0,0.0,63.9,10.9,96.3,10,5.3
Samuel Robertson,Public,2018,Maple Ridge,Gr 12 enrolment: 193,0.3,14.0,0.0,65.6,9.3,96.8,7.5,5.7
Samuel Robertson,Public,2019,Maple Ridge,Gr 12 enrolment: 193,0.3,14.0,0.0,65.4,6.9,97.6,4.7,6
Thomas Haney,Public,2015,Maple Ridge,Gr 12 enrolment: 223,1.9,12.6,0.0,68.1,8.9,95.1,17,6.3
Thomas Haney,Public,2016,Maple Ridge,Gr 12 enrolment: 223,1.9,12.6,0.0,69.8,9,97.1,14.1,6.8
Thomas Haney,Public,2017,Maple Ridge,Gr 12 enrolment: 223,1.9,12.6,0.0,68.7,8.8,96.6,12.5,6.1
Thomas Haney,Public,2018,Maple Ridge,Gr 12 enrolment: 223,1.9,12.6,0.0,68.9,6.1,96.4,11.2,6.2
Thomas Haney,Public,2019,Maple Ridge,Gr 12 enrolment: 223,1.9,12.6,0.0,67.9,5.9,98.3,13.2,6
Westview,Public,2015,Maple Ridge,Gr 12 enrolment: 123,2.6,20.6,0.0,64.7,14.9,97.4,18.7,5.2
Westview,Public,2016,Maple Ridge,Gr 12 enrolment: 123,2.6,20.6,0.0,61.8,16.8,90.8,25.8,3.6
Westview,Public,2017,Maple Ridge,Gr 12 enrolment: 123,2.6,20.6,0.0,62.8,14.9,92,26.8,3.9
Westview,Public,2018,Maple Ridge,Gr 12 enrolment: 123,2.6,20.6,0.0,62.1,15.6,98.2,15.3,3.6
Westview,Public,2019,Maple Ridge,Gr 12 enrolment: 123,2.6,20.6,0.0,64,13.9,94.1,23.8,3.3
New Westminster,Public,2015,New Westminster,Gr 12 enrolment: 530,7.5,7.5,15.4,70.9,8.1,98,2.7,7.4
New Westminster,Public,2016,New Westminster,Gr 12 enrolment: 530,7.5,7.5,15.4,70.6,9.7,97.7,5.5,7
New Westminster,Public,2017,New Westminster,Gr 12 enrolment: 530,7.5,7.5,15.4,69.7,8.7,97.6,9.4,7.2
New Westminster,Public,2018,New Westminster,Gr 12 enrolment: 530,7.5,7.5,15.4,70,9.7,95.5,13.8,6.2
New Westminster,Public,2019,New Westminster,Gr 12 enrolment: 530,7.5,7.5,15.4,69.2,7.1,95.3,10.7,6.7
Argyle,Public,2015,North Vancouver,Gr 12 enrolment: 275,1.9,13.1,23.4,69.1,9.5,93.7,12.3,6.1
Argyle,Public,2016,North Vancouver,Gr 12 enrolment: 275,1.9,13.1,23.4,71.3,6.6,95.9,13,6.9
Argyle,Public,2017,North Vancouver,Gr 12 enrolment: 275,1.9,13.1,23.4,69.3,8.4,94,16,5.3
Argyle,Public,2018,North Vancouver,Gr 12 enrolment: 275,1.9,13.1,23.4,71.1,7.9,94.9,9.5,5.8
Argyle,Public,2019,North Vancouver,Gr 12 enrolment: 275,1.9,13.1,23.4,69.5,4.5,97.8,6,6.4
Carson Graham,Public,2015,North Vancouver,Gr 12 enrolment: 299,3.5,12.4,0.4,64.6,14.9,94.7,14.3,4.8
Carson Graham,Public,2016,North Vancouver,Gr 12 enrolment: 299,3.5,12.4,0.4,65.7,14.2,94.5,16.4,4.6
Carson Graham,Public,2017,North Vancouver,Gr 12 enrolment: 299,3.5,12.4,0.4,65.3,10.6,94.3,15.3,5.2
Carson Graham,Public,2018,North Vancouver,Gr 12 enrolment: 299,3.5,12.4,0.4,68,11.2,94.1,12.7,4.8
Carson Graham,Public,2019,North Vancouver,Gr 12 enrolment: 299,3.5,12.4,0.4,70.2,5.7,98.8,10.9,6.4
Handsworth,Public,2015,North Vancouver,Gr 12 enrolment: 288,3.4,7.9,23.1,74.1,4.7,95.8,9,7.3
Handsworth,Public,2016,North Vancouver,Gr 12 enrolment: 288,3.4,7.9,23.1,75.3,3.6,99,4.8,7.9
Handsworth,Public,2017,North Vancouver,Gr 12 enrolment: 288,3.4,7.9,23.1,72.9,4.6,97.4,4.9,8
Handsworth,Public,2018,North Vancouver,Gr 12 enrolment: 288,3.4,7.9,23.1,73,6.5,97.7,5.8,6.8
Handsworth,Public,2019,North Vancouver,Gr 12 enrolment: 288,3.4,7.9,23.1,72.5,4.6,98.9,2.4,7.3
Seycove,Public,2015,North Vancouver,Gr 12 enrolment: 113,0.2,12.9,0.2,72.4,5.7,98.5,3.6,6.8
Seycove,Public,2016,North Vancouver,Gr 12 enrolment: 113,0.2,12.9,0.2,74.3,4.6,97.9,6.5,7.3
Seycove,Public,2017,North Vancouver,Gr 12 enrolment: 113,0.2,12.9,0.2,70.4,6.7,96.5,8.6,6.8
Seycove,Public,2018,North Vancouver,Gr 12 enrolment: 113,0.2,12.9,0.2,76.1,4.1,97,7.8,7.6
Seycove,Public,2019,North Vancouver,Gr 12 enrolment: 113,0.2,12.9,0.2,71.7,4.7,95.3,2.9,6.3
St Thomas Aquinas,Independent,2015,North Vancouver,Gr 12 enrolment: 133,0.0,9.9,0.0,74.2,4.5,98.1,0,8
St Thomas Aquinas,Independent,2016,North Vancouver,Gr 12 enrolment: 133,0.0,9.9,0.0,75.6,4.9,98.2,1.2,8.1
St Thomas Aquinas,Independent,2017,North Vancouver,Gr 12 enrolment: 133,0.0,9.9,0.0,71.5,7.9,98.4,0,7.5
St Thomas Aquinas,Independent,2018,North Vancouver,Gr 12 enrolment: 133,0.0,9.9,0.0,73.6,8.8,96.5,1.3,6.3
St Thomas Aquinas,Independent,2019,North Vancouver,Gr 12 enrolment: 133,0.0,9.9,0.0,75.9,5.4,99.2,0.7,8
Sutherland,Public,2015,North Vancouver,Gr 12 enrolment: 155,2.0,12.3,2.1,69.2,9.5,92,21.1,5.9
Sutherland,Public,2016,North Vancouver,Gr 12 enrolment: 155,2.0,12.3,2.1,67.9,10.5,90.2,24.2,5.6
Sutherland,Public,2017,North Vancouver,Gr 12 enrolment: 155,2.0,12.3,2.1,67.4,11.2,87.7,18.8,4.6
Sutherland,Public,2018,North Vancouver,Gr 12 enrolment: 155,2.0,12.3,2.1,70.2,10.8,91.8,16.7,6
Sutherland,Public,2019,North Vancouver,Gr 12 enrolment: 155,2.0,12.3,2.1,67.4,9.6,97.7,11.9,4.9
Windsor,Public,2015,North Vancouver,Gr 12 enrolment: 194,1.0,11.5,22.0,72.1,6.9,94.7,10.3,6.9
Windsor,Public,2016,North Vancouver,Gr 12 enrolment: 194,1.0,11.5,22.0,72,6.9,97.3,3.7,7.7
Windsor,Public,2017,North Vancouver,Gr 12 enrolment: 194,1.0,11.5,22.0,68.6,6,96.8,4,6.9
Windsor,Public,2018,North Vancouver,Gr 12 enrolment: 194,1.0,11.5,22.0,68.4,9.5,96.8,6.1,6
Windsor,Public,2019,North Vancouver,Gr 12 enrolment: 194,1.0,11.5,22.0,70.7,6.7,100,3.7,6.8
A.R. MacNeill,Public,2015,Richmond,Gr 12 enrolment: 163,12.2,10.6,0.0,67.5,13.8,90.8,20.9,4.4
A.R. MacNeill,Public,2016,Richmond,Gr 12 enrolment: 163,12.2,10.6,0.0,68.2,12.6,94.7,16.9,5.6
A.R. MacNeill,Public,2017,Richmond,Gr 12 enrolment: 163,12.2,10.6,0.0,63.1,15.7,90.3,18.6,4
